Stn Id,Stn Name,CIMIS Region,Date,Hour (PST),Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Vap Pres (kPa),qc,Air Temp (C),qc,Rel Hum (%),qc,Dew Point (C),qc,Wind Speed (m/s),qc,Wind Dir (0-360),qc,Soil Temp (C),qc
2,FivePoints,San Joaquin Valley,6/1/2018,0100,152,0.01, ,0.00, ,0, ,0.9, ,12.7, ,59, ,4.9, ,2.5, ,3, ,21.5, 
2,FivePoints,San Joaquin Valley,6/1/2018,0200,152,0.00, ,0.00, ,0, ,0.9, ,11.6, ,64, ,5.0, ,2.9, ,339, ,21.4, 
2,FivePoints,San Joaquin Valley,6/1/2018,0300,152,0.00, ,0.00, ,0, ,0.9, ,11.1, ,68, ,5.4, ,2.4, ,305, ,21.3, 
2,FivePoints,San Joaquin Valley,6/1/2018,0400,152,0.00, ,0.00, ,0, ,0.9, ,9.8, ,71, ,4.8, ,1.4, ,309, ,21.2, 
2,FivePoints,San Joaquin Valley,6/1/2018,0500,152,0.00, ,0.00, ,4, ,0.8, ,8.5, ,72, ,3.6, ,1.4, ,316, ,21.0, 
2,FivePoints,San Joaquin Valley,6/1/2018,0600,152,0.03, ,0.00, ,103, ,0.9, ,9.5, ,72, ,4.7, ,1.4, ,329, ,20.9, 
2,FivePoints,San Joaquin Valley,6/1/2018,0700,152,0.17, ,0.00, ,303, ,0.9, ,12.9, ,63, ,6.1, ,1.5, ,356, ,20.8, 
2,FivePoints,San Joaquin Valley,6/1/2018,0800,152,0.28, ,0.00, ,519, ,1.0, ,15.4, ,58, ,7.1, ,1.4, ,359, ,20.7, 
2,FivePoints,San Joaquin Valley,6/1/2018,0900,152,0.45, ,0.00, ,710, ,1.0, ,18.2, ,50, ,7.7, ,2.4, ,358, ,20.6, 
2,FivePoints,San Joaquin Valley,6/1/2018,1000,152,0.63, ,0.00, ,860, ,1.1, ,20.5, ,45, ,8.2, ,3.9, ,360, ,20.6, 
2,FivePoints,San Joaquin Valley,6/1/2018,1100,152,0.73, ,0.00, ,961, ,1.1, ,22.3, ,40, ,8.3, ,3.9, ,4, ,20.6, 
